Rank,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
254,"Morrow, Brandon",CHC,P,252.93,107,354,,162,,
255,"Grichuk, Randal",TOR,OF,253.8,194,356,,162,,
256,"Matz, Steven",NYM,P,255.32,191,317,,162,,
257,"Santana, Domingo",SEA,OF,256.67,129,519,,162,,
258,"Steckenrider, Drew",MIA,P,257.81,179,515,,161,,
259,"Mejia, Francisco",SD,C,258.01,180,357,,162,,
260,"Cron, C.J.",MIN,1B,261.39,172,408,,162,,
261,"Seager, Kyle",SEA,3B,263.98,157,353,,161,,
262,"Bell, Josh",PIT,1B,266.72,194,335,,162,,
263,"Gurriel Jr., Lourdes",TOR,"SS, 2B",266.91,176,347,,159,,
264,"Betances, Dellin",NYY,P,270.6,164,355,,160,,
265,"Happ, Ian",CHC,"OF, 3B",272.02,173,335,,160,,
266,"Barnhart, Tucker",CIN,C,272.48,190,351,,162,,
267,"Cervelli, Francisco",PIT,C,274.15,132,388,,162,,
268,"Tucker, Kyle",HOU,OF,277.64,185,359,,160,,
269,"Lopez, Reynaldo",CWS,P,277.93,157,358,,159,,
270,"Margot, Manuel",SD,OF,277.96,168,344,,161,,
271,"Chacin, Jhoulys",MLW,P,278.32,211,360,,160,,
272,"Lamb, Jake",ARZ,3B,278.96,176,359,,161,,
273,"Barnes, Matt",BOS,P,280.61,176,485,,162,,
274,"Gray, Sonny",CIN,P,280.81,219,358,,162,,
275,"Wacha, Michael",STL,P,281.6,150,345,,161,,
276,"Choo, Shin-Soo",TEX,OF,282.44,198,356,,159,,
277,"Gibson, Kyle",MIN,P,283.88,156,360,,162,,
278,"Kiner-Falefa, Isiah",TEX,"3B, C, 2B",284.1,223,353,,160,,
279,"Urias, Julio",LAD,P,286.4,183,366,,160,,
280,"Sanchez, Anibal",WAS,P,286.96,174,486,,162,,
281,"Gonzales, Marco",SEA,P,292.41,228,374,,161,,
282,"Allen, Greg",CLE,OF,293.81,199,406,,161,,
283,"Bruce, Jay",SEA,"OF, 1B",295.2,197,373,,160,,
284,"Williams, Trevor",PIT,P,295.86,181,357,,152,,
285,"Mullins, Cedric",BAL,OF,296.5,184,514,,161,,
286,"Narvaez, Omar",SEA,C,297.52,227,425,,162,,
287,"Lowrie, Jed",NYM,2B,297.86,163,377,,152,,
288,"Tatis, Jr., Fernando",SD,SS,298.62,184,362,,153,,
289,"Jeffress, Jeremy",MLW,P,300.67,182,356,,154,,
290,"Anderson, Brian",MIA,"OF, 3B",300.75,172,430,,158,,
291,"Rodon, Carlos",CWS,P,301,199,363,,161,,
292,"Kemp, Matt",CIN,OF,304.92,157,395,,153,,
293,"Teheran, Julio",ATL,P,305.14,163,368,,158,,
294,"Weaver, Luke",ARZ,P,306.85,217,379,,159,,
295,"Franco, Maikel",PHI,3B,306.88,177,366,,155,,
296,"Lucroy, Jonathan",LAA,C,312.53,214,367,,156,,
297,"Bundy, Dylan",BAL,P,312.82,205,395,,157,,
298,"Burnes, Corbin",MLW,P,315.39,206,491,,159,,
299,"Hernandez, Kike",LAD,"OF, 2B, SS",316.83,237,370,,157,,
300,"Strickland, Hunter",SEA,P,317.04,179,594,,157,,
301,"Souza Jr., Steven",ARZ,OF,317.15,161,431,,158,,
302,"Alonso, Yonder",CWS,1B,319.69,222,390,,152,,
303,"Hedges, Austin",SD,C,322.28,190,388,,155,,
304,"Goodrum, Niko",DET,"2B, 1B",322.51,232,371,,156,,
305,"Suzuki, Kurt",WAS,C,326.67,193,381,,151,,
306,"Fulmer, Michael",DET,P,327.99,227,404,,152,,
307,"Peacock, Brad",HOU,P,329.54,214,493,,156,,
308,"Ottavino, Adam",NYY,P,329.62,187,451,,142,,
309,"Herrera, Kelvin",CWS,P,332.21,169,448,,151,,
310,"McNeil, Jeff",NYM,2B,332.67,143,437,,148,,
311,"Boyd, Matthew",DET,P,333.12,237,431,,152,,
312,"Soroka, Mike",ATL,P,334.05,213,468,,145,,
313,"Rodriguez, Dereck",SF,P,336.04,217,409,,151,,
314,"Toussaint, Touki",ATL,P,336.78,198,441,,148,,
315,"Markakis, Nick",ATL,OF,339.15,164,413,,145,,
316,"Kiermaier, Kevin",TB,OF,339.2,217,446,,152,,
317,"Palka, Daniel",CWS,OF,342.82,199,424,,144,,
318,"Eflin, Zach",PHI,P,343.81,243,408,,149,,
319,"Woodruff, Brandon",MLW,P,343.93,253,414,,149,,
320,"Pillar, Kevin",TOR,OF,345.3,245,408,,151,,
321,"Fiers, Mike",OAK,P,345.35,207,393,,144,,
322,"Pederson, Joc",LAD,OF,350.14,191,427,,142,,
323,"Hernandez, Teoscar",TOR,OF,353.4,171,404,,140,,
324,"Boxberger, Brad",KC,P,353.61,157,590,,149,,
325,"Castro, Starlin",MIA,2B,355.94,253,414,,147,,
326,"Zimmerman, Ryan",WAS,1B,356.98,223,438,,143,,
327,"Diaz, Elias",PIT,C,358.7,232,434,,143,,
328,"Minor, Mike",TEX,P,359.18,174,414,,138,,
329,"Stroman, Marcus",TOR,P,360.06,233,412,,144,,
330,"Barnes, Austin",LAD,C,365.12,228,484,,143,,
331,"Jones, Adam",BAL,OF,365.15,218,440,,138,,
332,"Junis, Jake",KC,P,366.18,249,432,,144,,
333,"Holland, Derek",SF,P,367.41,187,520,,153,,
334,"Pineda, Michael",MIN,P,370.51,258,560,,154,,
335,"Peralta, Freddy",MLW,P,372.46,222,480,,138,,
336,"Parker, Blake",MIN,P,373.45,196,536,,141,,
337,"Peralta, Wily",KC,P,373.52,242,459,,136,,
338,"Gregorius, Didi",NYY,SS,373.52,168,425,,126,,
339,"Stewart, Christin",DET,OF,374.36,139,461,,138,,
340,"Garcia, Avisail",TB,OF,378.36,229,488,,136,,
341,"DeShields, Delino",TEX,OF,378.95,243,480,,147,,
342,"Soler, Jorge",KC,OF,379.96,254,455,,141,,
343,"O'Neill, Tyler",STL,OF,380.3,193,428,,134,,
344,"Schebler, Scott",CIN,OF,381.51,200,453,,125,,
345,"Pressly, Ryan",HOU,P,383.24,250,547,,147,,
346,"Camargo, Johan",ATL,3B,384.03,157,443,,126,,
347,"Frazier, Adam",PIT,"2B, OF",384.69,259,446,,136,,
348,"Hicks, John",DET,"1B, C",386.27,218,500,,132,,
349,"Brasier, Ryan",BOS,P,392,230,591,,146,,
350,"Sanchez, Aaron",TOR,P,395.54,241,482,,140,,
351,"Melancon, Mark",SF,P,395.64,206,557,,143,,
352,"Belt, Brandon",SF,1B,395.75,225,429,,127,,
353,"O'Hearn, Ryan",KC,1B,396.65,244,446,,129,,
354,"Urias, Luis",SD,2B,397.91,215,408,,126,,
355,"Martin, Leonys",CLE,OF,398.22,257,551,,137,,
356,"Gardner, Brett",NYY,OF,403.83,228,431,,124,,
357,"Velasquez, Vince",PHI,P,405.04,273,477,,130,,
358,"Harvey, Matt",LAA,P,405.47,265,474,,132,,
359,"Holland, Greg",ARZ,P,409.35,178,593,,127,,
360,"Kingery, Scott",PHI,SS,410.29,256,429,,124,,
361,"Britton, Zack",NYY,P,412.49,170,469,,114,,
362,"Garver, Mitch",MIN,C,413.22,181,424,,118,,
363,"Cordero, Franchy",SD,OF,414.88,235,441,,122,,
364,"Jimenez, Joe",DET,P,414.96,236,477,,122,,
365,"Iannetta, Chris",COL,C,416.33,259,506,,123,,
366,"Perez, Hernan",MLW,"2B, 3B, SS, OF",416.61,271,470,,127,,
367,"Strahm, Matt",SD,P,416.94,229,584,,140,,
368,"Cahill, Trevor",LAA,P,417.82,288,510,,130,,
369,"Longoria, Evan",SF,3B,419.75,269,433,,114,,
370,"Paddack, Chris",SD,P,427.97,197,587,,134,,
371,"Sheffield, Justus",SEA,P,428.86,78,478,,124,,
372,"Candelario, Jeimer",DET,3B,429.01,228,426,,112,,
373,"Bour, Justin",LAA,1B,430.56,130,583,,126,,
374,"Kipnis, Jason",CLE,2B,431.3,208,474,,114,,
375,"Flores, Wilmer",ARZ,1B,431.33,265,598,,119,,
376,"Familia, Jeurys",NYM,P,432.59,209,460,,112,,
377,"Verdugo, Alex",LAD,OF,433.33,239,523,,112,,
378,"Odorizzi, Jake",MIN,P,434.34,278,486,,126,,
379,"Nunez, Eduardo",BOS,"2B, 3B",435.48,276,455,,117,,
380,"Kinsler, Ian",SD,2B,437.09,249,479,,117,,
381,"Urena, Jose",MIA,P,437.2,282,470,,115,,
382,"DeSclafani, Anthony",CIN,P,437.35,264,482,,118,,
383,"Calhoun, Willie",TEX,OF,438.98,230,449,,108,,
384,"Swanson, Dansby",ATL,SS,441.49,244,459,,108,,
385,"Buttrey, Ty",LAA,P,444.79,198,550,,106,,
386,"Hiura, Keston",MLW,2B,445.03,185,539,,105,,
387,"Anderson, Chase",MLW,P,445.44,265,479,,111,,
388,"Calhoun, Kole",LAA,OF,445.8,287,503,,114,,
389,"Flowers, Tyler",ATL,C,446.04,279,459,,111,,
390,"Arcia, Orlando",MLW,SS,447.25,211,437,,106,,
391,"McMahon, Ryan",COL,1B,448.96,271,550,,112,,
392,"Brinson, Lewis",MIA,OF,453.86,182,519,,115,,
393,"Healy, Ryon",SEA,1B,454.25,271,512,,107,,
394,"Thames, Eric",MLW,"OF, 1B",455.73,289,509,,115,,
395,"Samardzija, Jeff",SF,P,456.14,256,575,,117,,
396,"Kela, Keone",PIT,P,457.35,280,462,,105,,
397,"Zobrist, Ben",CHC,"OF, 2B",458.9,270,488,,103,,
398,"Yarbrough, Ryan",TB,P,460.34,303,520,,104,,
