Rank,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
209,"Arrieta, Jake",PHI,P,216.52,162,285,,135,,
210,"Simmons, Andrelton",LAA,SS,217.81,161,330,,135,,
211,"Bradley, Archie",ARZ,P,218.66,136,356,,135,,
212,"Allen, Cody",LAA,P,221.07,84,399,,135,,
213,"Mancini, Trey",BAL,"OF, 1B",221.71,132,291,,135,,
214,"Gurriel Jr., Lourdes",TOR,"SS, 2B",222.93,178,347,,135,,
215,"Stripling, Ross",LAD,P,223.59,164,294,,135,,
216,"Sano, Miguel",MIN,3B,225.62,165,309,,135,,
217,"Hicks, Jordan",STL,P,226.24,148,400,,135,,
218,"Wood, Alex",CIN,P,226.3,104,318,,135,,
219,"Marte, Ketel",ARZ,"2B, SS",226.84,166,296,,135,,
220,"Gonzalez, Marwin",HOU,"1B, 2B, SS, OF",228.42,163,315,,135,,
221,"Whitley, Forrest",HOU,P,229.39,117,315,,135,,
222,"Gomes, Yan",WAS,C,229.68,163,306,,135,,
223,"Bradley Jr., Jackie",BOS,OF,229.99,167,325,,135,,
224,"Jansen, Danny",TOR,C,230.12,95,327,,135,,
225,"Herrera, Odubel",PHI,OF,230.82,136,333,,135,,
226,"Maeda, Kenta",LAD,P,232.23,102,344,,135,,
227,"LeMahieu, DJ",NYY,2B,232.65,133,325,,135,,
228,"Polanco, Gregory",PIT,OF,237.7,124,359,,135,,
229,"Robertson, David",PHI,P,237.81,124,411,,134,,
230,"Astudillo, Willians",MIN,C,238.51,115,350,,135,,
231,"Smoak, Justin",TOR,1B,238.99,170,305,,135,,
232,"Musgrove, Joe",PIT,P,239.92,172,358,,135,,
233,"Senzel, Nick",CIN,2B,240.16,148,331,,135,,
234,"Skaggs, Tyler",LAA,P,240.93,129,375,,135,,
235,"Zunino, Mike",TB,C,241.98,170,329,,135,,
236,"Seager, Kyle",SEA,3B,242.5,174,343,,135,,
237,"Alfaro, Jorge",PHI,C,243.82,191,339,,135,,
238,"Chacin, Jhoulys",MLW,P,245.21,154,329,,135,,
239,"Mejia, Francisco",SD,C,246.63,157,325,,135,,
240,"Godley, Zack",ARZ,P,247.24,160,314,,135,,
241,"Givens, Mychal",BAL,P,248.47,164,419,,135,,
242,"Tucker, Kyle",HOU,OF,249.93,173,341,,135,,
243,"Lopez, Reynaldo",CWS,P,250.23,157,321,,135,,
244,"Bauers, Jake",CLE,"1B, OF",250.34,175,330,,135,,
245,"Castillo, Welington",CWS,C,250.64,116,318,,135,,
246,"Grichuk, Randal",TOR,OF,251.91,181,356,,135,,
247,"White, Tyler",HOU,1B,253.27,177,348,,135,,
248,"Alonso, Peter",NYM,1B,255.06,169,361,,135,,
249,"Luzardo, Jesus",OAK,P,255.26,186,371,,135,,
250,"Kepler, Max",MIN,OF,256.06,187,331,,135,,
251,"Colome, Alex",CWS,P,256.17,111,540,,135,,
252,"Bell, Josh",PIT,1B,256.54,198,335,,135,,
253,"Morrow, Brandon",CHC,P,257.39,107,417,,133,,
254,"Nelson, Jimmy",MLW,P,258.22,188,333,,135,,
255,"Margot, Manuel",SD,OF,258.84,134,389,,135,,
256,"Williams, Trevor",PIT,P,259.28,172,351,,135,,
257,"Matz, Steven",NYM,P,260.1,195,324,,135,,
258,"Happ, Ian",CHC,"OF, 3B",261.66,185,335,,134,,
259,"Cron, C.J.",MIN,1B,262.05,169,513,,135,,
260,"Minter, A.J.",ATL,P,264.25,143,396,,134,,
261,"Lowrie, Jed",NYM,2B,266.23,187,371,,135,,
262,"McHugh, Collin",HOU,P,267.1,145,456,,135,,
263,"Miller, Andrew",STL,P,270.46,146,429,,134,,
264,"Chirinos, Robinson",HOU,C,270.63,175,363,,135,,
265,"Kiner-Falefa, Isiah",TEX,"3B, C, 2B",271.73,191,365,,135,,
266,"Barnhart, Tucker",CIN,C,272.08,170,345,,135,,
267,"Choo, Shin-Soo",TEX,OF,272.27,194,335,,135,,
268,"Anderson, Brian",MIA,"OF, 3B",272.59,161,353,,134,,
269,"May, Trevor",MIN,P,272.99,187,404,,133,,
270,"Steckenrider, Drew",MIA,P,274.06,167,515,,131,,
271,"Gibson, Kyle",MIN,P,274.48,156,356,,135,,
272,"Gonzales, Marco",SEA,P,277.42,213,345,,135,,
273,"Wacha, Michael",STL,P,278.9,150,339,,135,,
274,"Rodon, Carlos",CWS,P,279.05,146,385,,135,,
275,"Teheran, Julio",ATL,P,280.01,139,368,,132,,
276,"Urias, Julio",LAD,P,280.5,137,366,,134,,
277,"Cabrera, Asdrubal",TEX,"2B, SS, 3B",281.56,166,413,,134,,
278,"Lamb, Jake",ARZ,3B,282.87,195,359,,134,,
279,"Gray, Sonny",CIN,P,283.51,202,368,,135,,
280,"Bruce, Jay",SEA,"OF, 1B",283.78,204,387,,135,,
281,"Cervelli, Francisco",PIT,C,286.24,209,388,,135,,
282,"Bundy, Dylan",BAL,P,293.73,172,384,,134,,
283,"Greene, Shane",DET,P,294.76,156,504,,133,,
284,"Soroka, Mike",ATL,P,295.91,213,424,,134,,
285,"Franco, Maikel",PHI,3B,297.07,205,373,,133,,
286,"Alonso, Yonder",CWS,1B,298.73,206,364,,133,,
287,"Betances, Dellin",NYY,P,298.96,164,420,,129,,
288,"Goodrum, Niko",DET,"2B, 1B",300.44,221,369,,134,,
289,"Santana, Domingo",SEA,OF,300.49,129,519,,134,,
290,"Palka, Daniel",CWS,OF,300.81,184,426,,133,,
291,"Hedges, Austin",SD,C,302.61,158,388,,135,,
292,"Schebler, Scott",CIN,OF,302.95,178,449,,133,,
293,"Strop, Pedro",CHC,P,303.5,162,512,,133,,
294,"McNeil, Jeff",NYM,2B,303.65,143,444,,130,,
295,"Jones, Adam",BAL,OF,303.74,211,395,,132,,
296,"Ottavino, Adam",NYY,P,304.73,187,460,,131,,
297,"Sanchez, Anibal",WAS,P,304.99,174,486,,135,,
298,"Rodriguez, Dereck",SF,P,305.44,201,415,,135,,
299,"Pillar, Kevin",TOR,OF,306.06,189,402,,135,,
300,"Pederson, Joc",LAD,OF,308.8,239,382,,134,,
301,"Kiermaier, Kevin",TB,OF,310.39,201,403,,134,,
302,"Hernandez, Kike",LAD,"OF, 2B, SS",310.41,233,383,,135,,
303,"Hernandez, Teoscar",TOR,OF,310.5,171,394,,133,,
304,"Minor, Mike",TEX,P,312.3,174,402,,131,,
305,"Weaver, Luke",ARZ,P,312.56,226,446,,135,,
306,"Lucroy, Jonathan",LAA,C,315.31,218,391,,134,,
307,"Toussaint, Touki",ATL,P,317.76,198,416,,133,,
308,"Boyd, Matthew",DET,P,318.33,241,393,,134,,
309,"Kemp, Matt",CIN,OF,318.9,191,391,,132,,
310,"Castro, Starlin",MIA,2B,320.21,228,414,,133,,
311,"Fulmer, Michael",DET,P,320.66,236,417,,133,,
312,"Camargo, Johan",ATL,3B,320.67,175,427,,129,,
313,"Suzuki, Kurt",WAS,C,320.72,227,394,,132,,
314,"Fiers, Mike",OAK,P,321.58,207,408,,134,,
315,"Jeffress, Jeremy",MLW,P,322.03,182,478,,129,,
316,"Junis, Jake",KC,P,323.31,249,432,,134,,
