name,status,age,team,pos,,,,,,,,,,,,,
John Lackey,Target,38,CHC,SP,39,141,11,1,121,118,-0.676369644,2.456961462,0.425800502,-0.483225038,0.112021287,-0.755994097,0.025027702
David Dahl,Sleeper,23,COL,OF,36,142,11,0.999993869,106,167,-1.883480577,1.413358237,0.357250807,-0.879433293,-1.036425988,-0.950936845,0.626064742
Adam Duvall,,28,CIN,OF,24,143,12,1,186,123,-0.756105706,2.540733108,-1.6736761,1.025268028,-0.484843678,0.95097095,-0.573824907
Kendrys Morales,,33,TOR,DH,5,144,12,0.999999998,108,125,-0.778232407,2.133017901,-0.219247616,0.507671044,-0.28248138,0.240173932,-1.024348387
A.J. Ramos,,30,MIA,RP,78,144,12,1,178,428,,,,,,,
Adrian Gonzalez,,34,LAD,1B,12,146,12,0.999999843,138,127,-0.822068194,1.874727084,-0.078034982,-0.09364079,-0.559768462,0.933533497,-1.024157458
Tanner Roark,,30,WAS,SP,59,147,12,1,201,176,-2.225650597,0.907680509,0.616905625,-0.483225038,0.11740116,-1.028848259,-1.447884085
Ben Zobrist,,35,CHC,2B,13,148,12,0.999999959,160,177,-2.229923807,1.217173538,-0.094298327,-0.998555788,-0.27116339,-0.443391198,-0.422515104
Javier Baez,,24,CHC,2B,20,149,12,0.999993604,169,238,-3.447097344,0,-0.861075239,-0.462731795,-1.613532595,-0.935863832,0.426106115
Francisco Rodriguez,,35,DET,RP,21,149,12,1,182,178,-2.230047548,1.089221848,-1.587917339,2.631866316,-1.892762266,-0.853366446,-0.527867813
Yasmani Grandal,,28,LAD,C,8,151,12,1,128,334,-5.463854502,2.134147581,-1.720792423,0.029527916,-1.625853073,-1.255064792,-0.891672131
Steven Matz,Sleeper,25,NYM,SP,30,152,12,1,122,97,0.133092756,3.266423862,0.202119609,-0.483225038,0.042365818,0.251273716,0.120558652
Salvador Perez,,26,KC,C,4,152,12,1,113,286,-4.244540842,3.353461242,-0.703202547,-0.018907966,-1.610312535,-0.888143214,-1.02397458
Elvis Andrus,,28,TEX,SS,7,154,12,1,174,155,-1.671606112,1.957088645,0.36675293,-1.643420956,-0.814566883,-1.21184554,1.631474337
Tony Watson,,31,PIT,RP,20,155,12,0.999999999,176,168,-1.94699425,1.372275146,-1.623655878,1.874141392,-1.752133893,-0.250116589,-0.195229283
Brandon Belt,,28,SF,1B,13,156,13,1,127,158,-1.711056256,0.985739022,-0.257198443,-0.200893594,-0.267419496,-0.356386878,-0.629157845
Jacob Lamb,,26,ARI,3B,16,157,13,1,132,162,-1.775350065,1.545200852,-1.016483478,0.195964491,-0.551529094,0.147691219,-0.550993202
Brad Miller,,27,TB,2B,18,158,13,1,129,191,-2.500922348,0.946174996,-1.169267721,0.088988947,-0.708135848,-0.464804244,-0.247703482
Dexter Fowler,,31,STL,OF,35,159,13,1,224,166,-1.819649362,1.477189452,-0.637621925,-1.074161602,0.821580903,-1.29514495,0.365698211
Lance McCullers,Target,23,HOU,SP,41,159,13,1,99,126,-0.78089494,2.352436166,0.350905723,-0.483225038,0.443543261,0.27898702,-1.371105905
James Paxton,Sleeper,28,SEA,SP,25,161,13,0.999999983,133,86,0.688815666,3.822146772,0.479701386,-0.483225038,0.389555534,0.349793086,-0.047009302
Kole Calhoun,,29,LAA,OF,23,162,13,1,180,115,-0.479067756,2.817771058,-0.45371102,-0.242531045,0.681230347,0.154438063,-0.618494102
Marcell Ozuna,,26,MIA,OF,29,163,13,1,204,143,-1.201093446,2.095745368,-0.164912578,0.122066606,-0.434161588,0.093791523,-0.817877409
Jameson Taillon,,25,PIT,SP,29,164,13,1,119,94,0.229908546,3.363239652,0.295997769,-0.483225038,-0.085961803,0.113004829,0.39009279
Dellin Betances,,29,NYY,RP,11,165,13,0.999970606,167,120,-0.677555341,2.641714055,-1.341525754,-0.146458405,-0.751215187,0.855057377,0.706586628
Sam Dyson,,28,TEX,RP,18,166,13,1,188,154,-1.668590639,1.650678757,-1.543545588,2.463483,-1.772826966,-0.141063809,-0.674637276
Yasmany Tomas,,26,ARI,OF,48,167,13,1,227,213,-2.961692777,0.335146037,-0.089800847,-0.034681675,-1.218618771,-0.921568716,-0.697022768
Dansby Swanson,,23,ATL,SS,16,168,13,0.999999987,187,306,-4.827851825,-1.199157068,-0.748957929,-1.741385973,-0.646407428,-1.509569444,-0.181531051
Jeff Samardzija,,32,SF,SP,32,169,14,1,131,102,-0.14534606,2.987985046,0.490074028,-0.483225038,0.456726101,-0.49181426,-0.117106891
Jay Bruce,,29,NYM,OF,45,170,14,1,247,202,-2.678516612,0.618322202,-1.642344504,0.336409607,-0.813516238,-0.096563439,-0.462502037
Aaron Nola,Sleeper,23,PHI,SP,150,171,14,0.999999995,134,428,,,,,,,
J.A. Happ,,34,TOR,SP,67,172,14,0.999999975,190,200,-2.635088968,0.498242138,0.493652999,-0.483225038,0.117239735,-1.646649284,-1.11610738
Jonathan Schoop,,25,BAL,2B,17,173,14,1,150,190,-2.472617538,0.974479806,-0.645139445,0.500110268,-0.906779055,-0.531042535,-0.889766772
Michael Brantley,,29,CLE,OF,50,174,14,0.999999529,240,217,-3.116704394,0.18013442,0.989529764,-1.469803017,-1.858695294,-0.783717632,0.005981785
Byron Buxton,,23,MIN,OF,57,175,14,1,269,250,-3.561310411,-0.264471597,-1.243548376,-0.769164519,-0.7589716,-1.494680659,0.705054742
Jake Odorizzi,,27,TB,SP,48,175,14,1,181,145,-1.230473194,1.902857912,0.117608489,-0.483225038,0.400070954,-1.056327566,-0.208600032
Joc Pederson,,24,LAD,OF,37,177,14,1,218,170,-2.016266802,1.280572012,-1.822653728,0.539413523,-0.228533322,-0.477927508,-0.026565768
Sean Manaea,,25,OAK,SP,70,178,14,1,192,212,-2.915632123,0.217698983,-0.066089537,-0.483225038,-0.030295894,-1.325780772,-1.010240882
Brian McCann,,33,HOU,C,10,179,14,1,143,350,-5.8835613,1.714440784,-1.647534843,-0.23926676,-1.754003201,-1.22702584,-1.015730656
